,Agent1,Agent2,Agent3,Agent4
0,51995.73975534372,46132.106708557774,46103.89092785642,46103.89092785642
1,35022.602851432595,29284.508488180727,29257.262989866183,29265.259952605735
2,62988.47746135829,57209.76540727198,57221.993874534775,57240.87346575357
3,43531.05773987715,38179.64104841562,38179.64104841562,38431.091926275665
4,50368.05237115638,44636.02938802621,44612.177506165615,44600.32790937309
5,25663.436767700867,20391.25342040996,20386.818542747398,20386.818542747398
6,76338.75814076816,71808.51713645892,71765.57423419943,71835.92886586624
7,38562.504125175205,32683.65388519991,32683.65388519991,32847.82286933033
8,35393.61903078027,29161.55581212175,29176.458912921244,29176.458912921244
9,54292.44943895295,47891.46448222762,47905.4936957683,47864.99101001128
