,Agent1,Agent2,Agent3,Agent4
0,36221.29271263191,41626.47857410043,35817.1242252418,35828.70053159624
1,61662.244921884805,39120.419651441705,52899.668768710515,52899.668768710515
2,56301.270815807315,35542.07672771807,46301.71710876943,46377.11541495556
3,55894.80875369717,53819.36015880238,50411.43654668291,50397.518980000685
4,35687.97678111055,38434.840391938604,33488.75890501096,33486.62350303384
5,74806.41233050296,71297.03646771771,68970.60959368004,69004.82234985498
6,39112.65122160029,61481.684305629475,52229.45740149198,52203.84043395398
7,46243.032327988236,50118.0359377967,44799.06505204103,44796.570744805096
8,60204.73389529593,58669.003566208055,54248.6193058286,54210.7423831105
9,43410.691031216506,57518.00461929193,50221.50326685387,50218.41514612558
