,Agent1,Agent2,Agent3,Agent4
0,38345.15518455748,54668.79344522533,53798.88687897734,49908.77681481513
1,37148.936880066314,19140.01183468116,67503.95914976361,42555.47735821994
2,61989.68090454298,45326.117816865524,38443.9360036104,47838.2750130293
3,58727.80325297649,44805.595465253486,58051.527472702524,53985.44460343757
4,32050.78090602839,58717.52988472854,69418.04429274343,56731.77734371553
5,45677.42295662601,40774.87011534065,44952.693752980194,41776.36009852065
6,14648.211898037203,47428.31890284702,62039.03244538804,44577.177268354535
7,64440.947413002265,59000.63074288615,49107.29575589334,57767.83869178774
8,51700.13962607684,68390.28482963439,68256.96488376481,64336.76780345663
9,56531.78057425455,70416.19074872285,69782.40417012526,66466.73983104007
