,Agent1,Agent2,Agent3,Agent4
0,41343.43690736794,58415.88482933805,34090.51380299217,55985.1767462648
1,55590.14606164202,58333.13497987588,62164.33066545774,27555.02576158762
2,41256.52202833914,57419.2904326447,59664.59880583819,48850.85698521424
3,64066.66036874787,64595.99676361336,47041.16715174607,65813.78416080367
4,52180.773923889894,50823.900745126826,38008.74537274554,44677.33927379327
5,51839.5827422067,53705.74204456007,33483.860225973986,47129.24136287475
6,72827.74382795721,75290.87780066865,70839.60291003558,69732.74753795145
7,59438.65082400249,64997.91413590414,66949.33086263979,49860.2416802523
8,60784.86091228593,38797.982779355254,48930.78096200072,69990.26210027591
9,55072.627017249106,39344.58986243951,43273.52020405773,62509.125655843374
