,Agent1,Agent2,Agent3,Agent4
0,39229.77678292897,50686.988812946794,53188.07381962944,41323.654573937994
1,69718.90046827815,27674.76087671253,41076.01771960712,41431.213809736495
2,41232.43930737743,43437.84690833519,37766.615233971075,42446.99952437868
3,66068.2900134477,54146.911828168384,71044.31604663668,62938.89896865993
4,30478.348852924253,55372.075910823536,39789.341442062105,87085.284118043
5,46823.51197287135,56647.83499723641,37946.199385944295,34917.63342479193
6,67110.12228330014,49133.85100853256,66372.48557847875,39134.351577204216
7,71346.97413721068,66449.69802772117,70608.35574958606,57142.39534126574
8,50710.185997383735,57112.50319886121,57471.90858523438,31455.088665918553
9,36386.00986861851,34079.61335674496,45896.344964474876,27937.07723227341
