iter	RMSE
0	1.061138153
1	1.030621223
2	1.002039407
3	0.976300075
4	0.9510563085
5	0.9275724184
6	0.9051451338
7	0.885237058
8	0.8652281787
9	0.8463308936
10	0.8295754635
11	0.8147045043
12	0.7989351976
13	0.7847759454
14	0.7713265135
15	0.7588638406
16	0.7471517138
17	0.7359918491
18	0.7250702089
19	0.7156334279
20	0.7064326643
21	0.697885349
22	0.6902225054
23	0.6825797716
24	0.6752907378
25	0.6691424606
26	0.6626500203
27	0.6566780897
28	0.6518895436
29	0.6463861282
30	0.6417710724
31	0.6374856953
32	0.6329598673
33	0.6286450594
34	0.6251370859
35	0.6214719206
36	0.6180640733
37	0.6147006295
38	0.6113766328
39	0.6088139806
40	0.6061739291
41	0.603455076
42	0.6012692719
43	0.5987391928
44	0.5966108317
45	0.5947439935
46	0.592776706
47	0.5909524921
48	0.5891525186
49	0.587313529
50	0.5853743339
51	0.5838258163
52	0.582383104
53	0.5806561483
54	0.5791476258
55	0.5779362106
56	0.5766247852
57	0.5754689906
58	0.5741637006
59	0.5726853147
60	0.5714419938
61	0.5703155436
62	0.5689842124
63	0.567899228
64	0.5665276984
65	0.5652940929
66	0.5643134915
67	0.5632417056
68	0.5624682813
69	0.5615886214
70	0.5606826569
71	0.5597510744
72	0.5589605482
73	0.5581315097
74	0.5572332592
75	0.5562925332
76	0.5554920856
77	0.554475463
78	0.5535705683
79	0.5527751914
80	0.5522471561
81	0.5515584769
82	0.5506267769
83	0.5496444411
84	0.548711572
85	0.5478676788
86	0.5470910519
87	0.5465216544
88	0.5459093865
89	0.5450927293
90	0.5443738379
91	0.5437662651
92	0.5430489992
93	0.5423915525
94	0.541478112
95	0.5406343386
96	0.5400955207
97	0.5391593973
98	0.5385190019
99	0.5378221014
100	0.5371268444
101	0.5365349769
102	0.5358486364
103	0.5350981816
104	0.5339240059
105	0.5332387424
106	0.5328315776
107	0.5320980649
108	0.5312201629
109	0.5307442092
110	0.5301035463
111	0.5296259533
112	0.5292262732
113	0.5286526429
114	0.5280049627
115	0.5274260614
116	0.526665661
117	0.5261207258
118	0.5255815973
119	0.5250179957
120	0.5243294487
121	0.5239287098
122	0.523293614
123	0.5228231704
124	0.5222808492
125	0.5217210162
126	0.5213694523
127	0.5209059543
128	0.5204866158
129	0.5200787839
130	0.5194907829
131	0.5188681429
132	0.5183791232
133	0.517956614
134	0.5173898914
135	0.5166187029
136	0.5160990804
137	0.5157506024
138	0.515396798
139	0.514518535
140	0.5139869837
141	0.5135407388
142	0.5131431072
143	0.5126020174
144	0.5120879118
145	0.5116995654
146	0.5111273087
147	0.5104587599
148	0.5099485133
149	0.509394936
150	0.508835177
151	0.5082063212
152	0.5078434288
153	0.5071941355
154	0.5065346673
155	0.5058783785
156	0.5054668232
157	0.5049428625
158	0.5045471943
159	0.5039476926
160	0.5033279572
161	0.5026911067
162	0.5022421648
163	0.5015775364
164	0.5010032338
165	0.5005471749
166	0.4998566389
167	0.4992586657
168	0.4985785747
169	0.4980070294
170	0.4974532276
171	0.4968249974
172	0.4963295146
173	0.4959157837
174	0.495336292
175	0.4948885882
176	0.4941878045
177	0.4937716892
178	0.4934198619
179	0.4931182876
180	0.4926095284
181	0.4920748303
182	0.4916578067
183	0.4911852735
184	0.4906851981
185	0.4901065792
186	0.4896190045
187	0.4889771713
188	0.4885507998
189	0.4881530279
190	0.4877415249
191	0.4873387034
192	0.4869730823
193	0.4864638619
194	0.485993199
195	0.4856391154
196	0.4850402205
197	0.4845672952
198	0.4840479937
199	0.483330608
200	0.4827809546
201	0.4823608429
202	0.4819621149
203	0.4815036362
204	0.4811199574
205	0.4805656033
206	0.4797484665
207	0.4792986504
208	0.478712521
209	0.4781882896
210	0.477826162
211	0.4773267012
212	0.4769399086
213	0.4764815799
214	0.4762008113
215	0.4757226884
216	0.4752617372
217	0.4748045035
218	0.4743186763
219	0.4740658075
220	0.47371486
221	0.4733110615
222	0.4727826545
223	0.47242793
224	0.4720722319
225	0.4715583388
226	0.4708366069
227	0.4704211049
228	0.4701269124
229	0.4697214884
230	0.4693322525
231	0.4688414637
232	0.4682839421
233	0.4676693875
234	0.4672971704
235	0.4668071598
236	0.4663422559
237	0.4656907259
238	0.4652930479
239	0.4648579674
240	0.4643199374
241	0.4637784091
242	0.4630785658
243	0.4624220735
244	0.4619921663
245	0.4616191886
246	0.4610504365
247	0.4605183152
248	0.4599882614
249	0.4597081582
250	0.4592999103
251	0.4588719193
252	0.4585829467
253	0.4579058687
254	0.4575516067
255	0.4570513334
256	0.4567210337
257	0.4561803805
258	0.4557087386
259	0.4554272004
260	0.4550224782
261	0.4546979253
262	0.454314202
263	0.4539953159
264	0.4536458146
265	0.4532418887
266	0.45265091
267	0.4523083213
268	0.4517523732
269	0.4513559662
270	0.4508501761
271	0.4504870361
272	0.4501342865
273	0.4496035081
274	0.449030615
275	0.4486080655
276	0.4483054717
277	0.4478282819
278	0.447203223
279	0.4467511504
280	0.4462312386
281	0.4459261098
282	0.4454077627
283	0.4449438857
284	0.4443690134
285	0.4438504305
286	0.4435783
287	0.443191347
288	0.4428436011
289	0.4424784087
290	0.4421239148
291	0.4416948768
292	0.4413942646
293	0.4409718797
294	0.4406523031
295	0.4401788899
296	0.4398705049
297	0.4393538918
298	0.4389877335
299	0.4385880031
300	0.438131732
301	0.4377023384
302	0.4373438811
303	0.4368960266
304	0.4364958693
305	0.436227501
306	0.4357439614
307	0.4352981341
308	0.4349777094
309	0.4343339086
310	0.4340995392
311	0.4336727941
312	0.433321434
313	0.4328911328
314	0.4324930062
315	0.4321637286
316	0.4318191747
317	0.4314414265
318	0.4309431356
319	0.4304413131
320	0.4301051779
321	0.4298106753
322	0.4295271587
323	0.4292665892
