iter	Passed	Remaining
0	109	54828
1	291	72534
2	394	65361
3	499	61968
4	689	68303
5	795	65492
6	1086	76504
7	1188	73116
8	1291	70438
9	1535	75252
10	1546	68763
11	1590	64689
12	1786	66937
13	1892	65707
14	2085	67430
15	2198	66494
16	2295	65219
17	2387	63920
18	2583	65403
19	2686	64477
20	2881	65735
21	2987	64908
22	3083	63950
23	3280	65055
24	3400	64614
25	3583	65322
26	3779	66216
27	3884	65473
28	4079	66260
29	4183	65547
30	4280	64763
31	4478	65490
32	4591	64975
33	4680	64152
34	4877	64801
35	4983	64235
36	5173	64739
37	5275	64142
38	5383	63640
39	5588	64267
40	5774	64642
41	5888	64208
42	6079	64615
43	6179	64044
44	6274	63440
45	6472	63875
46	6582	63440
47	6766	63715
48	6875	63285
49	7065	63593
50	7169	63116
51	7365	63453
52	7472	63020
53	7566	62494
54	7669	62051
55	7866	62371
56	8064	62673
57	8165	62226
58	8265	61781
59	8462	62057
60	8571	61684
61	8758	61878
62	8956	62125
63	9141	62276
64	9157	61284
65	9255	60862
66	9454	61101
67	9559	60733
68	9668	60393
69	9772	60028
70	9870	59641
71	10069	59854
72	10173	59505
73	10369	59695
74	10567	59880
75	10669	59526
76	10871	59724
77	10973	59367
78	11079	59042
79	11264	59138
80	11367	58801
81	11564	58948
82	11668	58622
83	11862	58749
84	12060	58885
85	12162	58551
86	12266	58231
87	12460	58335
88	12573	58062
89	12671	57724
90	12773	57410
91	12880	57123
92	13170	57639
93	13272	57326
94	13372	57007
95	13474	56705
96	13670	56793
97	13779	56522
98	13875	56201
99	14060	56242
100	14258	56327
101	14384	56128
102	14559	56116
103	14662	55831
104	14858	55896
105	14963	55619
106	15061	55320
107	15161	55031
108	15349	55062
109	15451	54783
110	15556	54518
111	15749	54560
112	15860	54319
113	16048	54340
114	16156	54087
115	16345	54108
116	16459	53880
117	16650	53901
118	16751	53633
119	16943	53655
120	17048	53401
121	17239	53414
122	17345	53165
123	17538	53179
124	17641	52925
125	17845	52969
126	17938	52684
127	18135	52705
128	18241	52461
129	18339	52196
130	18542	52231
131	18636	51957
132	18833	51967
133	18942	51737
134	19049	51505
135	19243	51504
136	19346	51259
137	19543	51265
138	19641	51011
139	19840	51019
140	19943	50778
141	20138	50772
142	20241	50533
143	20440	50532
144	20555	50326
145	20729	50262
146	20837	50038
147	21027	50012
148	21219	49986
149	21228	49534
150	21328	49296
151	21434	49072
152	21529	48827
153	21633	48604
154	21738	48385
155	21828	48133
156	22024	48116
157	22127	47897
158	22231	47679
159	22429	47662
160	22441	47253
161	22628	47212
162	22740	47015
163	22927	46974
164	23041	46780
165	23143	46566
166	23246	46354
167	23442	46326
168	23556	46137
169	23651	45912
170	23841	45869
171	23946	45665
172	24140	45629
173	24245	45425
174	24357	45234
175	24528	45154
176	24643	44970
177	24827	44912
178	24934	44715
179	25126	44669
180	25234	44473
181	25327	44253
182	25428	44048
183	25640	44034
184	25744	43835
185	25940	43792
186	26050	43603
187	26153	43403
188	26351	43361
189	26455	43163
190	26553	42959
191	26664	42774
192	26859	42725
193	27070	42698
194	27134	42440
195	27249	42264
196	27356	42076
197	27547	42017
198	27648	41819
199	27746	41620
200	27933	41553
201	28136	41508
